"","X","filename","sentence","index","date","url","filepath","candidate","shared_article"
"106",3227,"democrat_man_who_uses_she_her_pronouns_arrested_for_allegedly_threatening_to_kill_trump.txt","",10,"2024-10-29","https://www.dailywire.com/news/democrat-man-who-uses-she-her-pronouns-arrested-for-allegedly-threatening-to-kill-trump","./trump_extracted_text/democrat_man_who_uses_she_her_pronouns_arrested_for_allegedly_threatening_to_kill_trump.txt","trump",FALSE
"107",3259,"economic_guru_dave_ramsey_backs_trump_has_strong_message_for_the_haters.txt","",11,"2024-10-19","https://www.dailywire.com/news/economic-guru-dave-ramsey-backs-trump-has-strong-message-for-the-haters","./trump_extracted_text/economic_guru_dave_ramsey_backs_trump_has_strong_message_for_the_haters.txt","trump",FALSE
"108",3288,"every_21st_century_democratic_presidential_nominee_supports_restricting_free_speech.txt","",12,"2024-10-23","https://www.dailywire.com/news/every-21st-century-democratic-presidential-nominee-supports-restricting-free-speech","./trump_extracted_text/every_21st_century_democratic_presidential_nominee_supports_restricting_free_speech.txt","trump",TRUE
"109",3320,"exclusive_seven_undecided_pennsylvania_voters_say_whats_driving_their_decision.txt","",13,"2024-11-01","https://www.dailywire.com/news/exclusive-seven-undecided-pennsylvania-voters-say-whats-driving-their-decision","./trump_extracted_text/exclusive_seven_undecided_pennsylvania_voters_say_whats_driving_their_decision.txt","trump",TRUE
"110",3357,"fewer_americans_believe_trump_threatened_democracy_after_2020_election_poll.txt","",14,"2024-10-30","https://www.dailywire.com/news/fewer-americans-believe-trump-threatened-democracy-after-2020-election-poll","./trump_extracted_text/fewer_americans_believe_trump_threatened_democracy_after_2020_election_poll.txt","trump",FALSE
"111",3377,"four_days_to_go_democrat_desperation.txt","",15,"2024-11-01","https://www.dailywire.com/news/four-days-to-go-democrat-desperation","./trump_extracted_text/four_days_to_go_democrat_desperation.txt","trump",FALSE
"112",3438,"happy_all_saints_day_trump_promotes_another_catholic_feast_day.txt","",16,"2024-11-01","https://www.dailywire.com/news/happy-all-saints-day-trump-promotes-another-catholic-feast-day","./trump_extracted_text/happy_all_saints_day_trump_promotes_another_catholic_feast_day.txt","trump",FALSE
"113",3469,"he_blew_it_trump_rips_biden_for_saying_lock_him_up.txt","",17,"2024-10-24","https://www.dailywire.com/news/he-blew-it-trump-rips-biden-for-saying-lock-him-up","./trump_extracted_text/he_blew_it_trump_rips_biden_for_saying_lock_him_up.txt","trump",FALSE
"114",3502,"heres_where_trump_and_kamala_will_spend_their_final_campaign_day.txt","",18,"2024-11-04","https://www.dailywire.com/news/heres-where-trump-and-kamala-will-spend-their-final-campaign-day","./trump_extracted_text/heres_where_trump_and_kamala_will_spend_their_final_campaign_day.txt","trump",TRUE
"115",3525,"hillary_clinton_compares_trump_campaign_event_to_nazi_rally.txt","",19,"2024-10-25","https://www.dailywire.com/news/hillary-clinton-compares-trump-campaign-event-to-nazi-rally","./trump_extracted_text/hillary_clinton_compares_trump_campaign_event_to_nazi_rally.txt","trump",FALSE
"116",3548,"hillary_clinton_voters_see_trump_as_strong_believe_he_offers_better_future_for_them.txt","",20,"2024-10-25","https://www.dailywire.com/news/hillary-clinton-voters-see-trump-as-strong-believe-he-offers-better-future-for-them","./trump_extracted_text/hillary_clinton_voters_see_trump_as_strong_believe_he_offers_better_future_for_them.txt","trump",FALSE
"117",3572,"house_finds_secret_service_responsible_for_preventable_trump_assassination_attempt.txt","",21,"2024-10-21","https://www.dailywire.com/news/house-finds-secret-service-responsible-for-preventable-trump-assassination-attempt","./trump_extracted_text/house_finds_secret_service_responsible_for_preventable_trump_assassination_attempt.txt","trump",FALSE
"118",3598,"how_dare_we_speak_merry_christmas_trump_team_posts_kamala_flashback_promises_christmas_cheer.txt","",22,"2024-11-04","https://www.dailywire.com/news/how-dare-we-speak-merry-christmas-trump-team-posts-kamala-flashback-promises-christmas-cheer","./trump_extracted_text/how_dare_we_speak_merry_christmas_trump_team_posts_kamala_flashback_promises_christmas_cheer.txt","trump",FALSE
"119",3630,"how_trump_learned_to_embrace_the_transgender_culture_wars.txt","",23,"2024-10-30","https://www.dailywire.com/news/how-trump-learned-to-embrace-the-transgender-culture-wars","./trump_extracted_text/how_trump_learned_to_embrace_the_transgender_culture_wars.txt","trump",FALSE
"120",3748,"if_that_sticks_at_election_day_nyt_poll_shows_trump_polling_over_20_with_black_voters.txt","",24,"2024-10-21","https://www.dailywire.com/news/if-that-sticks-at-election-day-nyt-poll-shows-trump-polling-over-20-with-black-voters","./trump_extracted_text/if_that_sticks_at_election_day_nyt_poll_shows_trump_polling_over_20_with_black_voters.txt","trump",FALSE
"121",3778,"in_final_days_trump_guns_for_battleground_states.txt","",25,"2024-11-01","https://www.dailywire.com/news/in-final-days-trump-guns-for-battleground-states","./trump_extracted_text/in_final_days_trump_guns_for_battleground_states.txt","trump",FALSE
"122",3809,"inside_leonard_leos_plan_for_conservatives_to_crush_liberal_dominance.txt","",26,"2024-10-20","https://www.dailywire.com/news/inside-leonard-leos-plan-for-conservatives-to-crush-liberal-dominance","./trump_extracted_text/inside_leonard_leos_plan_for_conservatives_to_crush_liberal_dominance.txt","trump",FALSE
"123",3864,"ive_got_the_easiest_job_in_american_politics_jd_vance_primes_rally_crowd_for_trump_at_msg.txt","",27,"2024-10-27","https://www.dailywire.com/news/ive-got-the-easiest-job-in-american-politics-jd-vance-primes-rally-crowd-for-trump-at-msg","./trump_extracted_text/ive_got_the_easiest_job_in_american_politics_jd_vance_primes_rally_crowd_for_trump_at_msg.txt","trump",FALSE
"124",3896,"jake_paul_endorses_trump_explains_why.txt","",28,"2024-10-31","https://www.dailywire.com/news/jake-paul-endorses-trump-explains-why","./trump_extracted_text/jake_paul_endorses_trump_explains_why.txt","trump",FALSE
"125",3922,"jd_vance_dismantles_kamalas_disastrous_interview_with_bret_baier.txt","",29,"2024-10-17","https://www.dailywire.com/news/jd-vance-dismantles-kamalas-disastrous-interview-with-bret-baier","./trump_extracted_text/jd_vance_dismantles_kamalas_disastrous_interview_with_bret_baier.txt","trump",FALSE
"126",3946,"jd_vance_dont_trust_the_polls.txt","",30,"2024-10-23","https://www.dailywire.com/news/jd-vance-dont-trust-the-polls","./trump_extracted_text/jd_vance_dont_trust_the_polls.txt","trump",FALSE
"127",3971,"joe_rogan_endorses_trump_for_president.txt","",31,"2024-11-04","https://www.dailywire.com/news/joe-rogan-endorses-trump-for-president","./trump_extracted_text/joe_rogan_endorses_trump_for_president.txt","trump",FALSE
"128",3994,"kamala_losing_popular_vote_advantage_over_trump.txt","",32,"2024-10-22","https://www.dailywire.com/news/kamala-losing-popular-vote-advantage-over-trump","./trump_extracted_text/kamala_losing_popular_vote_advantage_over_trump.txt","trump",FALSE
"129",4018,"kamalas_campaign_outraised_team_trump_3_to_1_in_september.txt","",33,"2024-10-21","https://www.dailywire.com/news/kamalas-campaign-outraised-team-trump-3-to-1-in-september","./trump_extracted_text/kamalas_campaign_outraised_team_trump_3_to_1_in_september.txt","trump",TRUE
"130",4037,"let_the_states_run_the_schools_trump_promises_education_overhaul_during_fox_friends_interview.txt","",34,"2024-10-18","https://www.dailywire.com/news/let-the-states-run-the-schools-trump-promises-education-overhaul-during-fox-friends-interview","./trump_extracted_text/let_the_states_run_the_schools_trump_promises_education_overhaul_during_fox_friends_interview.txt","trump",FALSE
"131",4067,"man_arrested_with_guns_outside_trump_rally_speaks_out_these_accusations_are_complete_bulls.txt","",35,"2024-10-14","https://www.dailywire.com/news/man-arrested-with-guns-outside-trump-rally-speaks-out-these-accusations-are-complete-bulls","./trump_extracted_text/man_arrested_with_guns_outside_trump_rally_speaks_out_these_accusations_are_complete_bulls.txt","trump",FALSE
"132",4093,"man_badly_beats_trump_supporter_for_wearing_a_trump_2024_hat_police_say.txt","",36,"2024-11-02","https://www.dailywire.com/news/man-badly-beats-trump-supporter-for-wearing-a-trump-2024-hat-police-say","./trump_extracted_text/man_badly_beats_trump_supporter_for_wearing_a_trump_2024_hat_police_say.txt","trump",FALSE
"133",4116,"market_very_convinced_trump_is_going_to_win_billionaire_investor_says.txt","",37,"2024-10-16","https://www.dailywire.com/news/market-very-convinced-trump-is-going-to-win-billionaire-investor-says","./trump_extracted_text/market_very_convinced_trump_is_going_to_win_billionaire_investor_says.txt","trump",FALSE
"134",4148,"mike_lee_says_kamala_trolling_for_assassins_with_hitler_rhetoric.txt","",38,"2024-10-24","https://www.dailywire.com/news/mike-lee-says-kamala-trolling-for-assassins-with-hitler-rhetoric","./trump_extracted_text/mike_lee_says_kamala_trolling_for_assassins_with_hitler_rhetoric.txt","trump",FALSE
"135",4172,"mike_lee_slams_mitch_mcconnell_for_attacking_trump_maga_movement.txt","",39,"2024-10-24","https://www.dailywire.com/news/mike-lee-slams-mitch-mcconnell-for-attacking-trump-maga-movement","./trump_extracted_text/mike_lee_slams_mitch_mcconnell_for_attacking_trump_maga_movement.txt","trump",FALSE
"136",4195,"my_case_for_trump.txt","",40,"2024-11-04","https://www.dailywire.com/news/my-case-for-trump","./trump_extracted_text/my_case_for_trump.txt","trump",FALSE
"137",4224,"my_closing_statement_why_i_voted_trump.txt","",41,"2024-11-04","https://www.dailywire.com/news/my-closing-statement-why-i-voted-trump","./trump_extracted_text/my_closing_statement_why_i_voted_trump.txt","trump",FALSE
"138",4293,"nate_silver_publishes_two_dozen_reasons_why_trump_could_defeat_kamala.txt","",42,"2024-10-21","https://www.dailywire.com/news/nate-silver-publishes-two-dozen-reasons-why-trump-could-defeat-kamala","./trump_extracted_text/nate_silver_publishes_two_dozen_reasons_why_trump_could_defeat_kamala.txt","trump",FALSE
"139",4320,"nbc_news_pollster_breaks_down_broader_movement_favoring_trump_in_polls.txt","",43,"2024-10-27","https://www.dailywire.com/news/nbc-news-pollster-breaks-down-broader-movement-favoring-trump-in-polls","./trump_extracted_text/nbc_news_pollster_breaks_down_broader_movement_favoring_trump_in_polls.txt","trump",FALSE
"140",4343,"not_a_charity_event_trump_says_kamala_would_melt_down_if_elected_president.txt","",44,"2024-11-02","https://www.dailywire.com/news/not-a-charity-event-trump-says-kamala-would-melt-down-if-elected-president","./trump_extracted_text/not_a_charity_event_trump_says_kamala_would_melt_down_if_elected_president.txt","trump",FALSE
"141",4364,"not_encouraging_nyt_warns_kamala_in_trouble_as_poll_finds_her_tied_with_trump.txt","",45,"2024-10-25","https://www.dailywire.com/news/not-encouraging-nyt-warns-kamala-in-trouble-as-poll-finds-her-tied-with-trump","./trump_extracted_text/not_encouraging_nyt_warns_kamala_in_trouble_as_poll_finds_her_tied_with_trump.txt","trump",FALSE
"142",4385,"not_just_the_betting_markets_trump_takes_lead_in_battleground_state_polling.txt","",46,"2024-10-17","https://www.dailywire.com/news/not-just-the-betting-markets-trump-takes-lead-in-battleground-state-polling","./trump_extracted_text/not_just_the_betting_markets_trump_takes_lead_in_battleground_state_polling.txt","trump",FALSE
"143",4407,"october_surprise_media_launch_ugliest_anti_trump_smears_yet.txt","",47,"2024-10-23","https://www.dailywire.com/news/october-surprise-media-launch-ugliest-anti-trump-smears-yet","./trump_extracted_text/october_surprise_media_launch_ugliest_anti_trump_smears_yet.txt","trump",FALSE
"144",4457,"patently_false_former_senior_pence_advisers_refute_john_kellys_hitler_comments_about_trump.txt","",48,"2024-10-24","https://www.dailywire.com/news/patently-false-former-senior-pence-advisers-refute-john-kellys-hitler-comments-about-trump","./trump_extracted_text/patently_false_former_senior_pence_advisers_refute_john_kellys_hitler_comments_about_trump.txt","trump",FALSE
"145",4484,"poll_finds_israelis_overwhelmingly_favor_trump_over_kamala.txt","",49,"2024-10-29","https://www.dailywire.com/news/poll-finds-israelis-overwhelmingly-favor-trump-over-kamala","./trump_extracted_text/poll_finds_israelis_overwhelmingly_favor_trump_over_kamala.txt","trump",FALSE
"146",4514,"polling_averages_have_trump_up_in_every_battleground_state_building_lead.txt","",50,"2024-10-19","https://www.dailywire.com/news/polling-averages-have-trump-up-in-every-battleground-state-building-lead","./trump_extracted_text/polling_averages_have_trump_up_in_every_battleground_state_building_lead.txt","trump",FALSE
"147",4538,"race_to_the_middle_which_candidate_resonates_more_with_middle_america.txt","",51,"2024-10-26","https://www.dailywire.com/news/race-to-the-middle-which-candidate-resonates-more-with-middle-america","./trump_extracted_text/race_to_the_middle_which_candidate_resonates_more_with_middle_america.txt","trump",TRUE
"148",4575,"republican_senate_candidate_calls_to_keep_men_out_of_womens_sports.txt","",52,"2024-10-18","https://www.dailywire.com/news/republican-senate-candidate-calls-to-keep-men-out-of-womens-sports","./trump_extracted_text/republican_senate_candidate_calls_to_keep_men_out_of_womens_sports.txt","trump",FALSE
"149",4603,"spin_cycle_trumps_not_all_right_better_investigate_elon_musk.txt","",53,"2024-10-21","https://www.dailywire.com/news/spin-cycle-trumps-not-all-right-better-investigate-elon-musk","./trump_extracted_text/spin_cycle_trumps_not_all_right_better_investigate_elon_musk.txt","trump",FALSE
"150",4651,"stupid_people_made_these_deals_trump_spars_with_bloomberg_editor_in_chief_on_economy.txt","",54,"2024-10-15","https://www.dailywire.com/news/stupid-people-made-these-deals-trump-spars-with-bloomberg-editor-in-chief-on-economy","./trump_extracted_text/stupid_people_made_these_deals_trump_spars_with_bloomberg_editor_in_chief_on_economy.txt","trump",FALSE
"151",4712,"swing_state_showcase_everything_you_need_to_know_about_the_race_in_arizona.txt","",55,"2024-10-31","https://www.dailywire.com/news/swing-state-showcase-everything-you-need-to-know-about-the-race-in-arizona","./trump_extracted_text/swing_state_showcase_everything_you_need_to_know_about_the_race_in_arizona.txt","trump",FALSE
"152",4761,"swing_state_showcase_everything_you_need_to_know_about_the_race_in_georgia.txt","",56,"2024-10-30","https://www.dailywire.com/news/swing-state-showcase-everything-you-need-to-know-about-the-race-in-georgia","./trump_extracted_text/swing_state_showcase_everything_you_need_to_know_about_the_race_in_georgia.txt","trump",FALSE
"153",4805,"swing_state_showcase_everything_you_need_to_know_about_the_race_in_north_carolina.txt","",57,"2024-10-31","https://www.dailywire.com/news/swing-state-showcase-everything-you-need-to-know-about-the-race-in-north-carolina","./trump_extracted_text/swing_state_showcase_everything_you_need_to_know_about_the_race_in_north_carolina.txt","trump",FALSE
"154",4849,"swing_state_showcase_everything_you_need_to_know_about_the_race_in_pennsylvania.txt","",58,"2024-10-29","https://www.dailywire.com/news/swing-state-showcase-everything-you-need-to-know-about-the-race-in-pennsylvania","./trump_extracted_text/swing_state_showcase_everything_you_need_to_know_about_the_race_in_pennsylvania.txt","trump",FALSE
"155",4915,"swing_state_showcase_everything_you_need_to_know_about_the_race_in_wisconsin.txt","",59,"2024-10-30","https://www.dailywire.com/news/swing-state-showcase-everything-you-need-to-know-about-the-race-in-wisconsin","./trump_extracted_text/swing_state_showcase_everything_you_need_to_know_about_the_race_in_wisconsin.txt","trump",FALSE
"156",4967,"the_american_people_answered_the_call_trump_visits_helene_ravaged_north_carolina.txt","",60,"2024-10-21","https://www.dailywire.com/news/the-american-people-answered-the-call-trump-visits-helene-ravaged-north-carolina","./trump_extracted_text/the_american_people_answered_the_call_trump_visits_helene_ravaged_north_carolina.txt","trump",FALSE
"157",4989,"the_interview_was_fire_podcast_host_talks_to_charlamagne_tha_god_about_his_sit_down_with_trump.txt","",61,"2024-10-15","https://www.dailywire.com/news/the-interview-was-fire-podcast-host-talks-to-charlamagne-tha-god-about-his-sit-down-with-trump","./trump_extracted_text/the_interview_was_fire_podcast_host_talks_to_charlamagne_tha_god_about_his_sit_down_with_trump.txt","trump",FALSE
"158",5014,"the_new_republic_claims_republicans_cheat_to_win_elections_here_are_its_absurd_examples.txt","",62,"2024-10-22","https://www.dailywire.com/news/the-new-republic-claims-republicans-cheat-to-win-elections-here-are-its-absurd-examples","./trump_extracted_text/the_new_republic_claims_republicans_cheat_to_win_elections_here_are_its_absurd_examples.txt","trump",FALSE
"159",5038,"the_party_that_hates_men_is_wondering_why_theyre_losing_male_voters.txt","",63,"2024-10-14","https://www.dailywire.com/news/the-party-that-hates-men-is-wondering-why-theyre-losing-male-voters","./trump_extracted_text/the_party_that_hates_men_is_wondering_why_theyre_losing_male_voters.txt","trump",FALSE
"160",5094,"these_celebrities_say_theyre_voting_for_trump.txt","",64,"2024-11-04","https://www.dailywire.com/news/these-celebrities-say-theyre-voting-for-trump","./trump_extracted_text/these_celebrities_say_theyre_voting_for_trump.txt","trump",FALSE
"161",5127,"totally_incompetent_trump_reiterates_call_for_kamala_to_take_cognitive_test_after_fox_interview.txt","",65,"2024-10-17","https://www.dailywire.com/news/totally-incompetent-trump-reiterates-call-for-kamala-to-take-cognitive-test-after-fox-interview","./trump_extracted_text/totally_incompetent_trump_reiterates_call_for_kamala_to_take_cognitive_test_after_fox_interview.txt","trump",TRUE
